"","species","cites"
"501","Mellivora capensis",15
"502","Melogale moschata",15
"503","Melursus ursinus",15
"504","Mephitis macroura",15
"505","Mephitis mephitis",15
"506","Meriones crassus",15
"507","Meriones libycus",15
"508","Meriones meridianus",15
"509","Meriones tamariscinus",15
"510","Meriones unguiculatus",15
"511","Mesocricetus auratus",15
"512","Mesocricetus brandti",15
"513","Mesomys hispidus",15
"514","Metachirus nudicaudatus",15
"515","Mico argentatus",15
"516","Mico leucippe",15
"517","Micromys minutus",15
"518","Micronycteris megalotis",15
"519","Micropteropus pusillus",15
"520","Microtus agrestis",15
"521","Microtus arvalis",15
"522","Microtus californicus",15
"523","Microtus dogramacii",15
"524","Microtus fortis",15
"525","Microtus gregalis",15
"526","Microtus guentheri",15
"527","Microtus ilaeus",15
"528","Microtus levis",15
"529","Microtus maximowiczii",15
"530","Microtus montanus",15
"531","Microtus montebelli",15
"532","Microtus ochrogaster",15
"533","Microtus oeconomus",15
"534","Microtus pennsylvanicus",15
"535","Microtus richardsoni",15
"536","Microtus socialis",15
"537","Microtus subterraneus",15
"538","Millardia meltada",15
"539","Miniopterus fuliginosus",15
"540","Miniopterus inflatus",15
"541","Miniopterus schreibersii",15
"542","Miopithecus ogouensis",15
"543","Miopithecus talapoin",15
"544","Mirounga angustirostris",15
"545","Molossops neglectus",15
"546","Molossus molossus",15
"547","Molossus pretiosus",15
"548","Molossus rufus",15
"549","Molossus sinaloae",15
"550","Monodelphis domestica",15
"551","Mops condylurus",15
"552","Mormoops megalophylla",15
"553","Mungos mungo",15
"554","Muntiacus muntjak",15
"555","Muntiacus reevesi",15
"556","Murina aurata",15
"557","Murina leucogaster",15
"558","Mus baoulei",15
"559","Mus booduga",15
"560","Mus mattheyi",15
"561","Mus minutoides",15
"562","Mus musculus",15
"563","Mus setulosus",15
"564","Mus spretus",15
"565","Muscardinus avellanarius",15
"566","Mustela erminea",15
"567","Mustela frenata",15
"568","Mustela lutreola",15
"569","Mustela nigripes",15
"570","Mustela putorius",15
"571","Myocastor coypus",15
"572","Myodes gapperi",15
"573","Myodes glareolus",15
"574","Myodes regulus",15
"575","Myodes rufocanus",15
"576","Myodes rutilus",15
"577","Myomimus roachi",15
"578","Myonycteris angolensis",15
"579","Myonycteris torquata",15
"580","Myotis albescens",15
"581","Myotis austroriparius",15
"582","Myotis blythii",15
"583","Myotis californicus",15
"584","Myotis capaccinii",15
"585","Myotis chiloensis",15
"586","Myotis ciliolabrum",15
"587","Myotis dasycneme",15
"588","Myotis daubentonii",15
"589","Myotis evotis",15
"590","Myotis flavus",15
"591","Myotis formosus",15
"592","Myotis grisescens",15
"593","Myotis keenii",15
"594","Myotis leibii",15
"595","Myotis levis",15
"596","Myotis lucifugus",15
"597","Myotis macrodactylus",15
"598","Myotis myotis",15
"599","Myotis mystacinus",15
"600","Myotis nattereri",15
"601","Myotis nigricans",15
"602","Myotis pilosus",15
"603","Myotis riparius",15
"604","Myotis septentrionalis",15
"605","Myotis thysanodes",15
"606","Myotis velifer",15
"607","Myotis volans",15
"608","Myotis yumanensis",15
"609","Myrmecophaga tridactyla",15
"610","Nanger granti",15
"611","Napaeozapus insignis",15
"612","Nasua narica",15
"613","Nasua nasua",15
"614","Natalus stramineus",15
"615","Natalus tumidirostris",15
"616","Neacomys spinosus",15
"617","Necromys benefactus",15
"618","Necromys lasiurus",15
"619","Necromys obscurus",15
"620","Nectomys squamipes",15
"621","Neofelis nebulosa",15
"622","Neomonachus schauinslandi",15
"623","Neomys fodiens",15
"624","Neophocaena asiaeorientalis",15
"625","Neoromicia capensis",15
"626","Neotoma albigula",15
"627","Neotoma cinerea",15
"628","Neotoma floridana",15
"629","Neotoma fuscipes",15
"630","Neotoma lepida",15
"631","Neotoma leucodon",15
"632","Neotoma mexicana",15
"633","Neotoma micropus",15
"634","Neotoma stephensi",15
"635","Neovison vison",15
"636","Nephelomys albigularis",15
"637","Niviventer confucianus",15
"638","Noctilio leporinus",15
"639","Nomascus leucogenys",15
"640","Nyctalus leisleri",15
"641","Nyctalus noctula",15
"642","Nyctereutes procyonoides",15
"643","Nycteris thebaica",15
"644","Nycticeius humeralis",15
"645","Nyctinomops laticaudatus",15
"646","Nyctinomops macrotis",15
"647","Nyctophilus arnhemensis",15
"648","Ochotona alpina",15
"649","Ochotona curzoniae",15
"650","Odobenus rosmarus",15
"651","Odocoileus hemionus",15
"652","Odocoileus virginianus",15
"653","Oecomys bicolor",15
"654","Okapia johnstoni",15
"655","Oligoryzomys chacoensis",15
"656","Oligoryzomys flavescens",15
"657","Oligoryzomys fornesi",15
"658","Oligoryzomys fulvescens",15
"659","Oligoryzomys longicaudatus",15
"660","Oligoryzomys microtis",15
"661","Oligoryzomys nigripes",15
"662","Ondatra zibethicus",15
"663","Onychogalea unguifera",15
"664","Onychomys leucogaster",15
"665","Onychomys torridus",15
"666","Orcinus orca",15
"667","Oreamnos americanus",15
"668","Oryctolagus cuniculus",15
"669","Oryx dammah",15
"670","Oryx gazella",15
"671","Oryx leucoryx",15
"672","Oryzomys couesi",15
"673","Oryzomys palustris",15
"674","Otocolobus manul",15
"675","Otocyon megalotis",15
"676","Otolemur crassicaudatus",15
"677","Otospermophilus beecheyi",15
"678","Otospermophilus variegatus",15
"679","Ovibos moschatus",15
"680","Ovis ammon",15
"681","Ovis aries",15
"682","Ovis canadensis",15
"683","Ovis dalli",15
"684","Ovis orientalis",15
"685","Oxymycterus nasutus",15
"686","Oxymycterus quaestor",15
"687","Oxymycterus rufus",15
"688","Pagophilus groenlandicus",15
"689","Paguma larvata",15
"690","Pan paniscus",15
"691","Pan troglodytes",15
"692","Panthera leo",15
"693","Panthera onca",15
"694","Panthera pardus",15
"695","Panthera tigris",15
"696","Panthera uncia",15
"697","Papio anubis",15
"698","Papio cynocephalus",15
"699","Papio hamadryas",15
"700","Papio papio",15
"701","Papio ursinus",15
"702","Paradoxurus hermaphroditus",15
"703","Paradoxurus zeylonensis",15
"704","Parastrellus hesperus",15
"705","Pecari tajacu",15
"706","Perameles gunnii",15
"707","Perameles nasuta",15
"708","Perodicticus potto",15
"709","Perognathus parvus",15
"710","Peromyscus attwateri",15
"711","Peromyscus beatae",15
"712","Peromyscus boylii",15
"713","Peromyscus californicus",15
"714","Peromyscus difficilis",15
"715","Peromyscus eremicus",15
"716","Peromyscus gossypinus",15
"717","Peromyscus leucopus",15
"718","Peromyscus maniculatus",15
"719","Peromyscus megalops",15
"720","Peromyscus melanophrys",15
"721","Peromyscus melanotis",15
"722","Peromyscus mexicanus",15
"723","Peromyscus pectoralis",15
"724","Peromyscus truei",15
"725","Petaurus breviceps",15
"726","Phacochoerus aethiopicus",15
"727","Phacochoerus africanus",15
"728","Phascolarctos cinereus",15
"729","Philander opossum",15
"730","Philantomba monticola",15
"731","Philetor brachypterus",15
"732","Phoca largha",15
"733","Phoca vitulina",15
"734","Phocoenoides dalli",15
"735","Phodopus sungorus",15
"736","Phyllostomus discolor",15
"737","Phyllostomus hastatus",15
"738","Phyllotis darwini",15
"739","Physeter macrocephalus",15
"740","Pipistrellus abramus",15
"741","Pipistrellus ceylonicus",15
"742","Pipistrellus hesperidus",15
"743","Pipistrellus kuhlii",15
"744","Pipistrellus nathusii",15
"745","Pipistrellus pipistrellus",15
"746","Pipistrellus pulveratus",15
"747","Pipistrellus savii",15
"748","Pipistrellus subflavus",15
"749","Pithecia pithecia",15
"750","Platyrrhinus helleri",15
"751","Platyrrhinus lineatus",15
"752","Plecotus auritus",15
"753","Plecotus austriacus",15
"754","Pongo abelii",15
"755","Pongo pygmaeus",15
"756","Porcula salvania",15
"757","Potamochoerus porcus",15
"758","Potorous tridactylus",15
"759","Potos flavus",15
"760","Praomys daltoni",15
"761","Praomys jacksoni",15
"762","Praomys rostratus",15
"763","Prionailurus bengalensis",15
"764","Procapra gutturosa",15
"765","Procolobus badius",15
"766","Procolobus rufomitratus",15
"767","Procolobus verus",15
"768","Procyon cancrivorus",15
"769","Procyon lotor",15
"770","Proechimys cuvieri",15
"771","Proechimys guairae",15
"772","Proechimys guyannensis",15
"773","Proechimys semispinosus",15
"774","Propithecus coquereli",15
"775","Propithecus verreauxi",15
"776","Proteles cristata",15
"777","Pseudalopex vetulus",15
"778","Pseudocheirus peregrinus",15
"779","Pseudomys novaehollandiae",15
"780","Pteronotus davyi",15
"781","Pteronotus parnellii",15
"782","Pteropus admiralitatum",15
"783","Pteropus alecto",15
"784","Pteropus capistratus",15
"785","Pteropus conspicillatus",15
"786","Pteropus giganteus",15
"787","Pteropus hypomelanus",15
"788","Pteropus lylei",15
"789","Pteropus neohibernicus",15
"790","Pteropus poliocephalus",15
"791","Pteropus pumilus",15
"792","Pteropus rodricensis",15
"793","Pteropus rufus",15
"794","Pteropus scapulatus",15
"795","Pteropus vampyrus",15
"796","Pudu puda",15
"797","Puma concolor",15
"798","Pusa caspica",15
"799","Pusa hispida",15
"800","Pusa sibirica",15
"801","Pygathrix nemaeus",15
"802","Rangifer tarandus",15
"803","Raphicerus campestris",15
"804","Raphicerus sharpei",15
"805","Rattus argentiventer",15
"806","Rattus exulans",15
"807","Rattus losea",15
"808","Rattus lutreolus",15
"809","Rattus nitidus",15
"810","Rattus norvegicus",15
"811","Rattus pyctoris",15
"812","Rattus rattus",15
"813","Rattus sordidus",15
"814","Rattus tanezumi",15
"815","Rattus tiomanicus",15
"816","Redunca arundinum",15
"817","Redunca redunca",15
"818","Reithrodontomys fulvescens",15
"819","Reithrodontomys megalotis",15
"820","Rhabdomys pumilio",15
"821","Rhinoceros unicornis",15
"822","Rhinolophus affinis",15
"823","Rhinolophus alcyone",15
"824","Rhinolophus blasii",15
"825","Rhinolophus eloquens",15
"826","Rhinolophus euryale",15
"827","Rhinolophus ferrumequinum",15
"828","Rhinolophus hipposideros",15
"829","Rhinolophus macrotis",15
"830","Rhinolophus mehelyi",15
"831","Rhinolophus pearsonii",15
"832","Rhinolophus pusillus",15
"833","Rhinolophus rex",15
"834","Rhinolophus rouxii",15
"835","Rhinolophus simulator",15
"836","Rhinolophus sinicus",15
"837","Rhinolophus thomasi",15
"838","Rhinophylla pumilio",15
"839","Rhinopithecus roxellana",15
"840","Rhinopoma hardwickii",15
"841","Rhogeessa tumida",15
"842","Rhombomys opimus",15
"843","Rhynchonycteris naso",15
"844","Rousettus aegyptiacus",15
"845","Rousettus amplexicaudatus",15
"846","Rousettus leschenaultii",15
"847","Rousettus madagascariensis",15
"848","Rucervus duvaucelii",15
"849","Rupicapra pyrenaica",15
"850","Rupicapra rupicapra",15
"851","Rusa unicolor",15
"852","Saccolaimus flaviventris",15
"853","Saccolaimus saccolaimus",15
"854","Saguinus geoffroyi",15
"855","Saguinus imperator",15
"856","Saguinus midas",15
"857","Saguinus oedipus",15
"858","Saiga tatarica",15
"859","Saimiri boliviensis",15
"860","Saimiri oerstedii",15
"861","Saimiri sciureus",15
"862","Sapajus apella",15
"863","Sapajus cay",15
"864","Sapajus libidinosus",15
"865","Sapajus nigritus",15
"866","Sapajus xanthosternos",15
"867","Sarcophilus harrisii",15
"868","Sciurus carolinensis",15
"869","Sciurus granatensis",15
"870","Sciurus griseus",15
"871","Sciurus niger",15
"872","Sciurus variegatoides",15
"873","Sciurus vulgaris",15
"874","Scotophilus kuhlii",15
"875","Sekeetamys calurus",15
"876","Semnopithecus entellus",15
"877","Sigmodon alstoni",15
"878","Sigmodon hispidus",15
"879","Sigmodon toltecus",15
"880","Sooretamys angouya",15
"881","Sorex araneus",15
"882","Sorex arcticus",15
"883","Sorex minutus",15
"884","Speothos venaticus",15
"885","Spermophilus citellus",15
"886","Spermophilus fulvus",15
"887","Spilogale gracilis",15
"888","Spilogale putorius",15
"889","Stenocephalemys albipes",15
"890","Sturnira lilium",15
"891","Sturnira ludovici",15
"892","Sturnira parvidens",15
"893","Sturnira tildae",15
"894","Suncus murinus",15
"895","Sundamys muelleri",15
"896","Suricata suricatta",15
"897","Sus scrofa",15
"898","Sylvicapra grimmia",15
"899","Sylvilagus audubonii",15
"900","Sylvilagus brasiliensis",15
"901","Sylvilagus floridanus",15
"902","Sylvilagus nuttallii",15
"903","Sylvisorex ollula",15
"904","Symphalangus syndactylus",15
"905","Syncerus caffer",15
"906","Tadarida brasiliensis",15
"907","Tadarida teniotis",15
"908","Talpa europaea",15
"909","Talpa romana",15
"910","Tamandua tetradactyla",15
"911","Tamias amoenus",15
"912","Tamias minimus",15
"913","Tamias quadrivittatus",15
"914","Tamias sibiricus",15
"915","Tamias striatus",15
"916","Tamias umbrinus",15
"917","Tamiasciurus hudsonicus",15
"918","Taphozous melanopogon",15
"919","Taphozous perforatus",15
"920","Taphozous theobaldi",15
"921","Tapirus indicus",15
"922","Tapirus terrestris",15
"923","Tatera indica",15
"924","Thallomys nigricauda",15
